timestamp,index,name,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,temperature.gpu
2026/03/25 05:12:34.682, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 65.31, 65
2026/03/25 05:12:34.684, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 8.95, 36
2026/03/25 05:12:34.687, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 9.53, 31
2026/03/25 05:12:34.690, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 9.05, 30
2026/03/25 05:12:35.693, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 65.03, 65
2026/03/25 05:12:35.695, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 8.86, 36
2026/03/25 05:12:35.697, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 9.25, 31
2026/03/25 05:12:35.700, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 8.76, 30
2026/03/25 05:12:36.702, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 65.01, 65
2026/03/25 05:12:36.706, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 143, 11264, 53.78, 37
2026/03/25 05:12:36.711, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 143, 11264, 54.65, 32
2026/03/25 05:12:36.714, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 143, 11264, 53.78, 31
2026/03/25 05:12:37.719, 0, NVIDIA GeForce GTX 1080 Ti, 1, 0, 167, 11264, 61.86, 64
2026/03/25 05:12:37.721, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 56.93, 38
2026/03/25 05:12:37.723, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 58.01, 33
2026/03/25 05:12:37.726, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 57.05, 31
2026/03/25 05:12:38.728, 0, NVIDIA GeForce GTX 1080 Ti, 45, 2, 6401, 11264, 70.40, 64
2026/03/25 05:12:38.730, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 6549, 11264, 53.89, 38
2026/03/25 05:12:38.735, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 57.85, 34
2026/03/25 05:12:38.737, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 56.85, 32
2026/03/25 05:12:39.740, 0, NVIDIA GeForce GTX 1080 Ti, 29, 1, 6401, 11264, 70.31, 64
2026/03/25 05:12:39.742, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 6549, 11264, 53.98, 38
2026/03/25 05:12:39.744, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 56.51, 34
2026/03/25 05:12:39.746, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 55.70, 32
2026/03/25 05:12:40.750, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 6403, 11264, 69.56, 63
2026/03/25 05:12:40.753, 1, NVIDIA GeForce GTX 1080 Ti, 48, 2, 6551, 11264, 70.09, 39
2026/03/25 05:12:40.755, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 56.60, 34
2026/03/25 05:12:40.757, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 55.80, 32
2026/03/25 05:12:41.759, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 6403, 11264, 69.12, 63
2026/03/25 05:12:41.762, 1, NVIDIA GeForce GTX 1080 Ti, 7, 0, 6553, 11264, 69.20, 39
2026/03/25 05:12:41.765, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 58.11, 34
2026/03/25 05:12:41.768, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 57.24, 33
2026/03/25 05:12:42.773, 0, NVIDIA GeForce GTX 1080 Ti, 30, 17, 6403, 11264, 142.41, 64
2026/03/25 05:12:42.778, 1, NVIDIA GeForce GTX 1080 Ti, 50, 37, 6553, 11264, 144.07, 42
2026/03/25 05:12:42.780, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 58.24, 35
2026/03/25 05:12:42.782, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 143, 11264, 53.99, 33
2026/03/25 05:12:43.785, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 6403, 11264, 267.78, 64
2026/03/25 05:12:43.787, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 6553, 11264, 69.35, 41
2026/03/25 05:12:43.794, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 56.89, 35
2026/03/25 05:12:43.796, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 143, 11264, 54.16, 33
2026/03/25 05:12:44.802, 0, NVIDIA GeForce GTX 1080 Ti, 40, 22, 6403, 11264, 110.79, 64
2026/03/25 05:12:44.805, 1, NVIDIA GeForce GTX 1080 Ti, 51, 37, 6553, 11264, 166.58, 43
2026/03/25 05:12:44.807, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 56.69, 35
2026/03/25 05:12:44.809, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 143, 11264, 54.19, 33
2026/03/25 05:12:45.812, 0, NVIDIA GeForce GTX 1080 Ti, 41, 23, 6403, 11264, 127.62, 64
2026/03/25 05:12:45.816, 1, NVIDIA GeForce GTX 1080 Ti, 50, 37, 6553, 11264, 177.68, 44
2026/03/25 05:12:45.818, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 56.79, 35
2026/03/25 05:12:45.821, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 143, 11264, 54.10, 33
2026/03/25 05:12:46.826, 0, NVIDIA GeForce GTX 1080 Ti, 38, 21, 6403, 11264, 92.25, 64
2026/03/25 05:12:46.829, 1, NVIDIA GeForce GTX 1080 Ti, 51, 37, 6553, 11264, 133.28, 45
2026/03/25 05:12:46.831, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 51.22, 35
