timestamp,index,name,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,temperature.gpu
2026/03/25 05:51:10.667, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 70.45, 59
2026/03/25 05:51:10.670, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 9.15, 40
2026/03/25 05:51:10.672, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 9.92, 32
2026/03/25 05:51:10.675, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 9.43, 34
2026/03/25 05:51:11.678, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 70.27, 58
2026/03/25 05:51:11.680, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 9.15, 40
2026/03/25 05:51:11.682, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 9.63, 32
2026/03/25 05:51:11.685, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 9.63, 34
2026/03/25 05:51:12.689, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 70.26, 58
2026/03/25 05:51:12.694, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 143, 11264, 54.26, 41
2026/03/25 05:51:12.696, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 143, 11264, 54.78, 33
2026/03/25 05:51:12.698, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 143, 11264, 53.01, 34
2026/03/25 05:51:13.703, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 69.98, 58
2026/03/25 05:51:13.710, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 57.53, 42
2026/03/25 05:51:13.712, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 58.04, 34
2026/03/25 05:51:13.714, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 57.43, 35
2026/03/25 05:51:14.716, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 7925, 11264, 66.85, 58
2026/03/25 05:51:14.718, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 57.41, 42
2026/03/25 05:51:14.721, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 57.91, 35
2026/03/25 05:51:14.723, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 57.43, 35
2026/03/25 05:51:15.725, 0, NVIDIA GeForce GTX 1080 Ti, 51, 2, 9121, 11264, 69.63, 58
2026/03/25 05:51:15.728, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 55.80, 42
2026/03/25 05:51:15.732, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 56.77, 35
2026/03/25 05:51:15.736, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 55.80, 35
2026/03/25 05:51:16.738, 0, NVIDIA GeForce GTX 1080 Ti, 34, 1, 9121, 11264, 69.05, 57
2026/03/25 05:51:16.740, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 55.78, 42
2026/03/25 05:51:16.742, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 56.79, 35
2026/03/25 05:51:16.744, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 55.89, 35
2026/03/25 05:51:17.747, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 9121, 11264, 68.18, 57
2026/03/25 05:51:17.749, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 57.69, 43
2026/03/25 05:51:17.752, 2, NVIDIA GeForce GTX 1080 Ti, 2, 0, 5, 11264, 58.33, 36
2026/03/25 05:51:17.755, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 119, 11264, 55.41, 36
2026/03/25 05:51:18.760, 0, NVIDIA GeForce GTX 1080 Ti, 92, 61, 9121, 11264, 260.69, 60
2026/03/25 05:51:18.765, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 57.59, 43
2026/03/25 05:51:18.767, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 58.24, 36
2026/03/25 05:51:18.770, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 143, 11264, 54.57, 36
2026/03/25 05:51:19.772, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 9121, 11264, 68.16, 59
2026/03/25 05:51:19.774, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 57.41, 43
2026/03/25 05:51:19.776, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 58.14, 36
2026/03/25 05:51:19.779, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 143, 11264, 54.45, 36
2026/03/25 05:51:20.784, 0, NVIDIA GeForce GTX 1080 Ti, 100, 27, 9121, 11264, 195.34, 62
2026/03/25 05:51:20.787, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 55.87, 43
2026/03/25 05:51:20.789, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 56.80, 36
2026/03/25 05:51:20.791, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 143, 11264, 54.48, 36
2026/03/25 05:51:21.796, 0, NVIDIA GeForce GTX 1080 Ti, 92, 61, 9121, 11264, 241.68, 63
2026/03/25 05:51:21.804, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 55.97, 43
2026/03/25 05:51:21.806, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 56.99, 36
2026/03/25 05:51:21.809, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 143, 11264, 54.67, 36
2026/03/25 05:51:22.811, 0, NVIDIA GeForce GTX 1080 Ti, 93, 62, 9121, 11264, 244.34, 64
2026/03/25 05:51:22.813, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 50.30, 43
2026/03/25 05:51:22.815, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 51.44, 36
2026/03/25 05:51:22.818, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 143, 11264, 54.48, 37
2026/03/25 05:51:23.820, 0, NVIDIA GeForce GTX 1080 Ti, 6, 1, 9121, 11264, 234.96, 62
2026/03/25 05:51:23.822, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 50.21, 43
2026/03/25 05:51:23.826, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 51.22, 37
2026/03/25 05:51:23.828, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 143, 11264, 54.65, 36
2026/03/25 05:51:24.833, 0, NVIDIA GeForce GTX 1080 Ti, 93, 62, 9121, 11264, 242.02, 64
2026/03/25 05:51:24.835, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 50.32, 43
2026/03/25 05:51:24.837, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 51.32, 37
2026/03/25 05:51:24.839, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 143, 11264, 54.58, 37
2026/03/25 05:51:25.842, 0, NVIDIA GeForce GTX 1080 Ti, 92, 60, 9121, 11264, 239.94, 65
2026/03/25 05:51:25.844, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 12.22, 43
2026/03/25 05:51:25.846, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 12.71, 36
2026/03/25 05:51:25.849, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 143, 11264, 54.66, 37
2026/03/25 05:51:26.851, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 9121, 11264, 229.03, 64
2026/03/25 05:51:26.853, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 12.12, 42
2026/03/25 05:51:26.856, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 12.71, 36
2026/03/25 05:51:26.859, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 143, 11264, 54.67, 37
2026/03/25 05:51:27.861, 0, NVIDIA GeForce GTX 1080 Ti, 94, 63, 9121, 11264, 246.32, 66
2026/03/25 05:51:27.869, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 11.93, 42
2026/03/25 05:51:27.871, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 12.71, 35
2026/03/25 05:51:27.874, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 143, 11264, 54.77, 37
2026/03/25 05:51:28.876, 0, NVIDIA GeForce GTX 1080 Ti, 94, 62, 9121, 11264, 240.90, 66
2026/03/25 05:51:28.878, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 9.33, 42
2026/03/25 05:51:28.881, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 9.72, 35
2026/03/25 05:51:28.883, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 143, 11264, 54.87, 37
